intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,distance
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0017-2-4,15.363440634174628,45.700650394027726,image,"Ricker, George",3,58764.1915478,58789.19175852,1425.599381,600.0,1000.0,,58818.3333334,N/A,,17,POLYGON 11.44401400 37.71599000 3.52035200 48.12225700 21.02048500 53.37500700 25.66793900 42.31845900 11.44401400 37.71599000,,,PUBLIC,False,nan,27584813,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0057-2-4,8.45126519644944,44.84753453932745,image,"Ricker, George",3,59852.85293728009,59881.61704297454,158.399928,600.0,1000.0,,59904.0,N/A,,57,POLYGON 4.977695 36.761527 356.691324 46.959232 13.503272 52.67465 18.820418 41.765521 4.977695 36.761527,,,PUBLIC,False,nan,103128538,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0084-2-4,7.990991162867488,44.66125397979647,image,"Ricker, George",3,60584.08736278935,60609.84451336806,158.399927,600.0,1000.0,,60654.0,N/A,,84,POLYGON 4.532682 36.574007 356.270049 46.771334 13.013443 52.491526 18.333105 41.587061 4.532682 36.574007,,,PUBLIC,False,nan,233595063,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,10005000001,,tess2019279210107-s0017-0000010005000001-0161-s,10.68471,41.268749,timeseries,"Ricker, George",3,58764.18764042,58789.18207431,120.0,600.0,1000.0,,58818.3333334,N/A,,17,CIRCLE ICRS 10.68471000 41.26874900 0.00138889,,mast:TESS/product/tess2019279210107-s0017-0000010005000001-0161-s_lc.fits,PUBLIC,False,nan,27560829,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,10005000001,,tess2022273165103-s0057-0000010005000001-0245-s,10.68471,41.268749,timeseries,"Ricker, George",3,59852.85778053241,59881.61909769676,120.0,600.0,1000.0,,59904.0,N/A,,57,CIRCLE 10.68471 41.268749 0.00138889,,mast:TESS/product/tess2022273165103-s0057-0000010005000001-0245-s_lc.fits,PUBLIC,False,nan,101311936,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,10005000001,,tess2024274222008-s0084-0000010005000001-0281-s,10.68471,41.268749,timeseries,"Ricker, George",3,60584.09311931713,60609.84472274306,120.0,600.0,1000.0,,60654.0,N/A,,84,CIRCLE 10.68471 41.268749 0.00138889,,mast:TESS/product/tess2024274222008-s0084-0000010005000001-0281-s_lc.fits,PUBLIC,False,nan,233403068,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,438258504,,tess2024274222008-s0084-0000000438258504-0281-s,10.8329093604656,41.2999202306873,timeseries,"Ricker, George",3,60584.09311670139,60609.844725173614,120.0,600.0,1000.0,,60654.0,G07025,,84,CIRCLE 10.83290936 41.29992023 0.00138889,,mast:TESS/product/tess2024274222008-s0084-0000000438258504-0281-s_lc.fits,PUBLIC,False,nan,233399826,411.3319038889223
science,TESS,SPOC,Photometer,TESS,TESS,Optical,259006830,,tess2022273165103-s0057-0000000259006830-0245-a_fast,10.4758442575876,41.2370081818509,timeseries,"Ricker, George",3,59852.85778353009,59881.61909303241,20.0,600.0,1000.0,,59904.0,G05112,,57,CIRCLE 10.47584426 41.23700818 0.00138889,,mast:TESS/product/tess2022273165103-s0057-0000000259006830-0245-a_fast-lc.fits,PUBLIC,False,nan,101303420,571.825556198279
science,TESS,SPOC,Photometer,TESS,TESS,Optical,259006830,,tess2022273165103-s0057-0000000259006830-0245-s,10.4758442575876,41.2370081818509,timeseries,"Ricker, George",3,59852.85778353009,59881.61909303241,120.0,600.0,1000.0,,59904.0,G05112,,57,CIRCLE 10.47584426 41.23700818 0.00138889,,mast:TESS/product/tess2022273165103-s0057-0000000259006830-0245-s_lc.fits,PUBLIC,False,nan,101303427,571.825556198279
science,SWIFT,,UVOT,,UVM2,UV,Non-GRB,,00030802001,10.572293777384914,41.29277036419,cube,,2,53979.7399537,53979.877581,1824.068974843414,167900000000.0,292700000000.0,,nan,,,,POLYGON 10.322197 41.343327 10.421829 41.229155 10.426623396357558 41.224088032780841 10.433723 41.215923 10.541664 41.101519 10.685389 41.174396 10.837458 41.259487 10.836653578203949 41.260396097462269 10.838765 41.261576 10.742957 41.369269 10.625811 41.491116 10.624521328277012 41.490453299105305 10.613531 41.501859 10.481803 41.43434 10.322197 41.343327 10.322197 41.343327,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030802001um2[2]&size=ALL&output_size=2798,http://archive.stsci.edu/missions/swift_uvot/00030802/00030802001/sw00030802001um2_sk.img,PUBLIC,,5885.0,1516972,0.0
