pl_name,hostname,pl_orbper,pl_radj,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass
Kepler-6 b,Kepler-6,3.2346996,1.304,0.668,nan,1460.0,5647.0,1.39,1.21
Kepler-491 b,Kepler-491,4.22538451,0.796,nan,nan,nan,5582.0,1.03,1.04
Kepler-257 b,Kepler-257,2.382667,0.233,nan,nan,nan,5180.0,1.04,nan
Kepler-216 b,Kepler-216,7.693641,0.21,nan,nan,nan,6091.0,1.26,nan
Kepler-32 c,Kepler-32,8.7522,0.178,0.5,nan,nan,3900.0,0.53,0.58
Kepler-259 c,Kepler-259,36.924931,0.241,nan,nan,nan,5938.0,0.9,nan
Kepler-148 c,Kepler-148,4.180043,0.321,nan,nan,nan,5272.0,0.85,nan
Kepler-222 d,Kepler-222,28.081912,0.329,nan,nan,nan,5433.0,0.87,nan
Kepler-29 c,Kepler-29,13.28613,0.209,0.01416,0.0,nan,5378.0,0.73,0.76
Kepler-179 b,Kepler-179,2.735926,0.146,nan,nan,nan,5302.0,0.76,nan
Kepler-165 c,Kepler-165,15.31299,0.199,nan,nan,nan,5211.0,0.77,nan
Kepler-228 c,Kepler-228,4.134444,0.241,nan,nan,nan,6043.0,1.01,nan
Kepler-20 c,Kepler-20,10.8540774,0.258,0.03492,0.076,828.0,5495.0,0.92,0.93
Kepler-166 d,Kepler-166,1.55400393,0.154,nan,nan,nan,5350.0,0.83,0.88
Kepler-52 b,Kepler-52,7.8773565,0.187,0.42476,nan,nan,4075.0,0.52,0.54
Kepler-197 d,Kepler-197,15.677563,0.109,nan,nan,nan,6004.0,1.12,nan
K2-183 d,K2-183,22.620344,0.205,nan,nan,nan,5482.0,0.87,nan
K2-187 e,K2-187,13.606629,0.17,nan,nan,nan,5438.0,0.83,nan
K2-187 c,K2-187,2.871512,0.125,nan,nan,nan,5438.0,0.83,nan
K2-270 b,K2-270,1.543069,0.123,nan,nan,1203.0,4877.0,0.77,0.85
Kepler-184 d,Kepler-184,29.022358,0.222,nan,nan,nan,5788.0,0.87,nan
Kepler-257 d,Kepler-257,24.664551,0.442,nan,nan,nan,5180.0,1.04,nan
K2-280 b,K2-280,19.89526,0.669,0.11673,0.35,787.0,5500.0,1.28,1.03
K2-381 c,K2-381,16.034656,0.178,nan,nan,nan,4473.0,0.68,0.75
Kepler-222 c,Kepler-222,10.08881,0.414,nan,nan,nan,5433.0,0.87,nan
HATS-36 b,HATS-36,4.175186,1.153,nan,nan,1203.0,5950.0,1.1,1.1
Kepler-229 b,Kepler-229,6.252972,0.196,nan,nan,nan,5120.0,0.73,nan
K2-222 b,K2-222,15.38857,0.21,0.02737,0.16,871.0,5942.0,1.11,0.99
K2-214 b,K2-214,8.596802,0.217,nan,nan,1006.0,5854.0,1.27,1.05
K2-220 b,K2-220,13.683256,0.213,nan,nan,758.0,5660.0,1.02,0.96
K2-216 b,K2-216,2.1748,0.156,0.02517,0.0,1103.0,4503.0,0.72,0.7
K2-212 b,K2-212,9.795647,0.236,nan,nan,nan,4349.0,0.68,0.62
Kepler-166 c,Kepler-166,34.260281,0.212,nan,nan,nan,5413.0,0.74,nan
K2-151 b,K2-151,3.835476,0.133,nan,nan,566.0,3695.0,0.45,0.47
K2-295 b,K2-295,4.024867,0.897,0.335,0.0,852.0,4444.0,0.7,0.74
K2-282 b,K2-282,4.169783,0.223,nan,nan,nan,5499.0,1.0,nan
K2-283 b,K2-283,1.921036,0.314,nan,nan,1186.0,5060.0,0.82,0.89
K2-281 b,K2-281,8.687721,0.73,nan,nan,665.0,4812.0,0.76,0.82
K2-387 b,K2-387,28.735327,0.653,nan,nan,nan,3572.0,0.58,0.57
Kepler-197 b,Kepler-197,5.599308,0.091,nan,nan,nan,6004.0,1.12,nan
K2-156 b,K2-156,0.813143,0.098,nan,nan,nan,4460.0,0.62,nan
K2-157 b,K2-157,0.365261,0.089,nan,nan,nan,5456.0,0.88,nan
K2-158 b,K2-158,10.06049,0.236,nan,nan,794.0,5503.0,0.95,0.92
K2-244 b,K2-244,21.06884,0.156,nan,nan,638.0,5677.0,0.92,0.86
Kepler-108 c,Kepler-108,190.323494,0.73,nan,nan,nan,5854.0,2.19,nan
K2-159 b,K2-159,12.42205,0.202,nan,nan,684.0,5425.0,0.83,0.9
K2-160 b,K2-160,3.705871,0.284,nan,nan,nan,5649.0,0.91,0.98
K2-161 b,K2-161,9.283188,0.546,nan,nan,nan,4972.0,2.57,0.99
K2-162 b,K2-162,9.45889,0.128,nan,nan,631.0,4842.0,0.69,0.75
K2-163 b,K2-163,6.673117,0.22,nan,nan,nan,4937.0,0.76,0.83
K2-165 b,K2-165,2.354992,0.114,nan,nan,nan,5185.0,0.8,0.83
K2-165 c,K2-165,4.382745,0.139,nan,nan,nan,5185.0,0.8,0.83
K2-165 d,K2-165,14.101361,0.236,nan,nan,nan,5185.0,0.8,0.83
Kepler-477 b,Kepler-477,11.11990653,0.185,nan,nan,nan,5240.0,0.79,0.87
Kepler-108 b,Kepler-108,49.183921,0.772,nan,nan,nan,5854.0,2.19,nan
EPIC 201595106 b,EPIC 201595106,0.877214,0.116,nan,nan,nan,5820.0,0.93,nan
K2-166 b,K2-166,8.52695,0.195,nan,nan,1140.0,5960.0,1.61,1.16
K2-175 b,K2-175,9.525988,0.182,nan,nan,nan,5909.0,1.42,1.09
K2-176 b,K2-176,5.329439,0.133,nan,nan,nan,5428.0,0.86,0.94
K2-177 b,K2-177,14.155185,0.189,nan,nan,nan,6063.0,1.21,1.21
K2-178 b,K2-178,8.747818,0.317,nan,nan,nan,5525.0,0.89,0.95
Kepler-9 d,Kepler-9,1.592851,0.146,nan,nan,2026.0,5777.0,1.02,1.07
K2-183 b,K2-183,0.469285,0.098,nan,nan,nan,5482.0,0.87,nan
K2-185 b,K2-185,10.616384,0.103,nan,nan,809.0,5788.0,0.94,0.96
K2-185 c,K2-185,52.713494,0.213,nan,nan,477.0,5788.0,0.94,0.96
K2-263 b,K2-263,50.818947,0.215,0.04688,0.15,470.0,5368.0,0.85,0.88
K2-186 b,K2-186,41.474219,0.283,nan,nan,nan,5784.0,0.98,1.02
K2-341 b,K2-341,36.552551,0.286,nan,nan,598.0,5817.0,1.16,0.98
K2-187 b,K2-187,0.77401,0.107,nan,nan,nan,5438.0,0.83,nan
K2-188 b,K2-188,1.742169,0.12,nan,nan,1692.0,5977.0,1.19,1.06
K2-189 b,K2-189,2.588309,0.136,nan,nan,1197.0,5519.0,0.87,0.94
K2-190 c,K2-190,21.574023,0.098,nan,nan,nan,5631.0,0.91,0.9
K2-195 c,K2-195,28.482786,0.23,nan,nan,nan,5712.0,0.91,0.96
K2-196 b,K2-196,48.324222,0.321,nan,nan,nan,6045.0,1.54,1.16
Kepler-42 b,Kepler-42,1.2137672,0.07,nan,nan,519.0,3068.0,0.17,0.13
K2-201 b,K2-201,1.05979,0.125,nan,nan,nan,5507.0,0.88,0.96
K2-201 c,K2-201,22.779878,0.293,nan,nan,nan,5507.0,0.88,0.96
K2-202 b,K2-202,3.405164,0.205,nan,nan,nan,5491.0,0.91,0.97
K2-381 b,K2-381,7.9389334,0.096,nan,nan,nan,4473.0,0.68,0.75
K2-381 d,K2-381,26.803023,0.151,nan,nan,nan,4473.0,0.68,0.75
K2-382 b,K2-382,21.700156,0.185,nan,nan,nan,5452.0,0.81,0.92
K2-383 b,K2-383,1.865962,0.14,nan,nan,nan,5129.0,0.8,1.06
K2-203 b,K2-203,9.6952,0.113,nan,0.23,738.4,5026.0,0.77,0.79
K2-204 b,K2-204,7.055908,0.283,nan,0.28,1148.0,5783.0,1.25,1.08
K2-205 b,K2-205,26.672263,0.178,nan,nan,nan,5890.0,1.08,0.95
K2-206 b,K2-206,18.294549,0.249,nan,nan,nan,5043.0,0.76,0.79
K2-207 b,K2-207,12.48749,0.232,nan,nan,nan,5522.0,0.93,0.94
K2-208 b,K2-208,4.19097,0.149,nan,0.37,1122.0,5500.0,0.87,0.88
K2-209 b,K2-209,2.080615,0.077,nan,nan,nan,4720.0,0.71,0.74
K2-210 b,K2-210,0.57023,0.077,nan,nan,nan,5500.0,0.89,nan
K2-211 b,K2-211,0.669561,0.119,nan,0.19,1873.0,5117.0,0.82,0.85
K2-213 b,K2-213,8.13087,0.135,nan,nan,nan,5794.0,1.2,1.07
K2-215 b,K2-215,8.269648,0.189,nan,nan,nan,5704.0,0.97,1.0
K2-217 b,K2-217,14.074524,0.319,nan,nan,nan,5967.0,1.33,1.1
K2-218 b,K2-218,8.679885,0.229,nan,nan,nan,5757.0,1.01,1.05
K2-219 b,K2-219,3.901287,0.12,nan,nan,nan,5753.0,1.19,1.02
K2-219 c,K2-219,6.66767,0.128,nan,nan,nan,5753.0,1.19,1.02
K2-219 d,K2-219,11.137278,0.23,nan,nan,nan,5753.0,1.19,1.02
K2-221 b,K2-221,2.399094,0.15,nan,nan,nan,5716.0,0.95,1.01
K2-223 b,K2-223,0.50557,0.079,nan,nan,nan,5859.0,1.0,nan
K2-223 c,K2-223,4.562546,0.134,nan,nan,nan,5859.0,1.0,nan
K2-224 b,K2-224,4.47904,0.139,nan,nan,1002.0,5620.0,0.84,0.91
K2-224 c,K2-224,10.09489,0.215,nan,nan,764.0,5620.0,0.84,0.91
K2-225 b,K2-225,15.8723,0.322,nan,0.23,923.0,5520.0,1.7,1.48
K2-226 b,K2-226,3.27109,0.137,nan,0.22,1187.0,5288.0,0.89,0.86
K2-227 b,K2-227,13.621832,0.149,nan,nan,nan,5673.0,0.89,0.95
K2-228 b,K2-228,2.69828,0.108,nan,nan,914.0,4715.0,0.65,0.71
K2-229 b,K2-229,0.584216,0.089,nan,nan,nan,5315.0,0.79,nan
