MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,PMRA,PMDEC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,SP_TYPE,FLUX_V,SCRIPT_NUMBER_ID
Kepler-82f,19 31 29.6083,+42 57 58.067,14,14,0.019,0.020,90,A,O,2020yCat.1350....0G,1.077,0.240,6.583,0.026,0.027,90,,,0
KOI-3473.01,19 52 18.2089,+45 11 20.567,14,14,0.011,0.013,90,A,O,2020yCat.1350....0G,2.917,5.381,7.337,0.014,0.016,90,,,0
MOA  2011-BLG-262b,18 00 23.480,-31 14 42.93,7,7,,,0,D,,2014ApJ...784...28K,,,,,,0,,,0
HD  45350b,06 28 45.7110,+38 57 46.666,14,14,0.022,0.021,90,A,O,2020yCat.1350....0G,21.291,-42.748,-53.736,0.025,0.019,90,,,0
K2-181b,08 30 12.9686,+10 54 37.034,14,14,0.012,0.009,90,A,O,2020yCat.1350....0G,2.779,16.936,-33.182,0.014,0.012,90,,,0
Kepler-911b,19 54 21.4047,+40 45 02.514,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,1.735,1.472,-1.499,0.012,0.013,90,,,0
Kepler-102f,18 45 55.8559,+47 12 28.845,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,9.252,-41.044,-43.267,0.013,0.013,90,,,0
CD-46 11540b,17 28 39.9455,-46 53 42.688,14,14,0.025,0.018,90,A,O,2020yCat.1350....0G,219.646,572.568,-880.583,0.040,0.027,90,,,0
CoRoT-27b,18 33 58.9993,+05 32 18.324,14,14,0.031,0.031,90,A,O,2020yCat.1350....0G,1.079,0.286,-9.865,0.037,0.033,90,,,0
CD-35 16019b,23 59 36.0711,-35 01 52.923,14,14,0.012,0.013,90,A,O,2020yCat.1350....0G,11.105,109.752,7.615,0.013,0.014,90,,,0
WASP-55b,13 35 01.9537,-17 30 12.527,14,14,0.016,0.013,90,A,O,2020yCat.1350....0G,3.419,12.037,-3.747,0.023,0.015,90,,,0
NAME LP 415-17b,04 21 52.4852,+21 21 12.937,14,14,0.014,0.008,90,A,O,2020yCat.1350....0G,13.711,200.181,-76.775,0.018,0.013,90,,,0
Kepler-1040b,18 52 27.3085,+48 07 52.933,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,2.102,-2.971,-21.629,0.012,0.013,90,,,0
Kepler-132e,18 52 56.5641,+41 20 34.997,14,14,0.042,0.045,90,A,O,2020yCat.1350....0G,2.628,-21.100,-0.781,0.055,0.061,90,,,0
Kepler-245c,19 26 33.3541,+42 26 10.779,14,14,0.022,0.024,90,A,O,2020yCat.1350....0G,1.181,3.679,4.797,0.031,0.032,90,,,0
NAME EWS 2013-BLG-102b,17 52 07.0810,-31 41 26.128,14,14,0.355,0.318,90,A,O,2018yCat.1345....0G,,-2.319,-6.286,0.678,0.529,90,,,0
Kepler-1809b,19 21 03.6748,+40 32 55.100,14,14,0.012,0.013,90,A,O,2020yCat.1350....0G,2.445,-25.686,-33.786,0.016,0.018,90,,,0
Kepler-42c,19 28 52.5688,+44 37 08.989,14,14,0.017,0.019,90,A,O,2020yCat.1350....0G,24.934,93.074,-417.393,0.024,0.025,90,,,0
Kepler-1849b,19 01 10.0654,+41 15 20.521,14,14,0.022,0.023,90,A,O,2020yCat.1350....0G,1.550,-1.625,6.305,0.032,0.031,90,,,0
Kepler-1025b,18 58 02.4449,+43 57 41.932,14,14,0.025,0.030,90,A,O,2020yCat.1350....0G,1.232,4.434,-19.768,0.033,0.036,90,,,0
TOI-712d,06 11 44.6726,-65 49 33.498,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,17.043,-2.816,30.974,0.012,0.012,90,,,0
Kepler-1141b,19 22 10.4699,+47 43 33.176,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,2.489,9.210,5.798,0.012,0.012,90,,,0
MOA  2011-BLG-133b,17 57 15.7783,-28 14 01.888,14,14,0.166,0.140,90,A,O,2018yCat.1345....0G,0.022,3.221,-6.601,0.376,0.285,90,,,0
Kepler-17b,19 53 34.8643,+47 48 54.049,14,14,0.012,0.014,90,A,O,2020yCat.1350....0G,1.411,-3.811,-6.339,0.017,0.019,90,,,0
BD+14  1881b,08 22 28.2046,+13 44 07.143,14,14,0.017,0.012,90,A,O,2020yCat.1350....0G,4.391,-25.381,-1.955,0.019,0.014,90,,,0
Kepler-1724b,19 44 28.9712,+47 55 17.293,14,14,0.017,0.016,90,A,O,2020yCat.1350....0G,0.927,2.148,0.727,0.021,0.022,90,,,0
HD 145377b,16 11 36.4464,-27 04 41.434,14,14,0.022,0.013,90,A,O,2020yCat.1350....0G,18.574,21.792,13.049,0.030,0.022,90,,,0
NAME CD-34 14724Ab,20 55 07.9443,-34 08 08.007,14,14,0.018,0.013,90,A,O,2020yCat.1350....0G,4.750,26.500,-44.971,0.021,0.018,90,,,0
Kepler-438b,18 46 34.9967,+41 57 03.934,14,14,0.089,0.092,90,A,O,2020yCat.1350....0G,5.559,-16.649,-5.614,0.115,0.111,90,,,0
